Region,States,Max.Demand Met during the day(MW),Shortage during maximum Demand(MW),Energy Met (MU),date
NR,Rajasthan,11084,0,245.1,18-07-2019
NR,Delhi,4656,0,100.6,18-07-2019
NR,UP,18388,1480,390.3,18-07-2019
NR,Uttarakhand,1914,0,41.2,18-07-2019
NR,HP,1408,0,29.3,18-07-2019
ER,Sikkim,95,0,1.2,18-07-2019
ER,Sikkim,99,0,1.3,18-07-2020
WR,MP,10146,0,229.2,18-07-2020
NER,Assam,1673,170,30.3,18-07-2020
ER,Jharkhand,1379,0,29.1,18-07-2020
ER,DVC,3008,0,66.4,18-07-2020
ER,Bihar,5793,0,119.1,18-07-2020
SR,Puducherry,348,0,7.5,18-07-2020
SR,Tamil Nadu,12785,0,267.6,18-07-2020
SR,Kerala,2821,0,59.9,18-07-2020
SR,Karnataka,7636,0,146.7,18-07-2020
SR,Telangana,9714,0,194.8,18-07-2020
SR,Andhra Pradesh,7016,0,148,18-07-2020
WR,AMNSIL,828,0,17.8,18-07-2020
WR,DNH,612,0,14,18-07-2020
NER,Arunachal Pradesh,102,1,1.8,18-07-2020
WR,DD,242,0,5.3,18-07-2020
NR,Punjab,11072,0,252.5,18-07-2020
NR,Haryana,9439,0,206.5,18-07-2020
NR,Rajasthan,12408,0,268.5,18-07-2020
NR,Delhi,5611,0,113.7,18-07-2020
NR,UP,22772,0,453.3,18-07-2020
NR,Uttarakhand,1846,0,41.6,18-07-2020
NR,HP,1413,0,30.5,18-07-2020
NR,J&K(UT) & Ladakh(UT),2156,539,44.7,18-07-2020
NR,Chandigarh,310,0,6.4,18-07-2020
WR,Chhattisgarh,4167,0,97.9,18-07-2020
WR,Gujarat,12805,0,282.9,18-07-2020
WR,Goa,398,0,8,18-07-2020
ER,West Bengal,8440,0,172.9,18-07-2020
ER,Odisha,4714,0,91.8,18-07-2020
NER,Manipur,189,1,2.2,18-07-2020
NER,Meghalaya,342,0,5.6,18-07-2020
NER,Mizoram,95,1,1.6,18-07-2020
NER,Nagaland,129,1,2.1,18-07-2020
NER,Tripura,289,0,4.9,18-07-2020
WR,Maharashtra,16705,0,366.6,18-07-2020
SR,Tamil Nadu,11360,0,258,18-07-2021
NER,Arunachal Pradesh,135,0,2.3,18-07-2021
NER,Assam,1861,0,34.9,18-07-2021
NER,Manipur,200,0,2.6,18-07-2021
NER,Meghalaya,311,0,5.6,18-07-2021
NER,Nagaland,132,0,2.5,18-07-2021
NR,Rajasthan,11848,0,260.3,18-07-2021
NR,UP,23284,0,417.2,18-07-2021
NR,Delhi,6045,0,120.6,18-07-2021
ER,Sikkim,70,0,1.1,18-07-2021
NR,Haryana,10353,0,209.3,18-07-2021
NR,Punjab,12831,0,299.4,18-07-2021
NER,Tripura,268,0,4.7,18-07-2021
ER,West Bengal,8711,0,173.8,18-07-2021
ER,Odisha,5872,0,118.5,18-07-2021
NR,Uttarakhand,1833,0,37.7,18-07-2021
SR,Puducherry,345,0,7.3,18-07-2021
ER,Bihar,6179,0,117.6,18-07-2021
ER,DVC,2971,0,64.7,18-07-2021
ER,Jharkhand,1529,0,28.2,18-07-2021
SR,Karnataka,7079,0,136.2,18-07-2021
SR,Telangana,9796,0,188.4,18-07-2021
SR,Andhra Pradesh,7332,0,157.8,18-07-2021
WR,AMNSIL,862,0,19.6,18-07-2021
SR,Kerala,2790,0,58.2,18-07-2021
WR,DNH,813,0,18.6,18-07-2021
WR,Goa,490,0,10.3,18-07-2021
WR,Maharashtra,18124,0,414.9,18-07-2021
WR,MP,10596,0,231.8,18-07-2021
WR,Gujarat,14411,0,328.9,18-07-2021
WR,Chhattisgarh,4775,26,113,18-07-2021
NR,Chandigarh,311,0,6.4,18-07-2021
NR,J&K(UT) & Ladakh(UT),2333,250,46.4,18-07-2021
NR,HP,1365,0,28.3,18-07-2021
WR,DD,313,0,6,18-07-2021
NER,Mizoram,103,0,1.6,18-07-2021
ER,Sikkim,86,0,1.3,18-07-2021
SR,Kerala,2915,0,62.5,18-07-2021
SR,Telangana,9583,0,184.7,18-07-2021
SR,Karnataka,8406,0,158.9,18-07-2021
SR,Tamil Nadu,13388,0,295.7,18-07-2021
SR,Puducherry,388,0,8.4,18-07-2021
ER,Bihar,6378,0,121.9,18-07-2021
ER,DVC,3086,0,67.7,18-07-2021
ER,Jharkhand,1376,0,28.9,18-07-2021
SR,Andhra Pradesh,7728,0,163,18-07-2021
ER,Odisha,6005,0,121.9,18-07-2021
NER,Arunachal Pradesh,141,0,2.3,18-07-2021
NER,Assam,1896,0,35.4,18-07-2021
NER,Manipur,193,1,2.3,18-07-2021
NER,Meghalaya,305,0,5.6,18-07-2021
NER,Mizoram,107,1,1.6,18-07-2021
NER,Nagaland,134,1,2.5,18-07-2021
NER,Tripura,260,0,4.8,18-07-2021
ER,West Bengal,9103,0,190.4,18-07-2021
WR,AMNSIL,851,0,19.3,18-07-2021
WR,DNH,835,0,19.3,18-07-2021
NR,Uttarakhand,2158,0,47,18-07-2021
NR,Haryana,10385,0,233.4,18-07-2021
NR,Rajasthan,13220,0,285.8,18-07-2021
NR,Delhi,6253,0,129.3,18-07-2021
NR,UP,24085,0,489.7,18-07-2021
WR,DD,345,0,7.8,18-07-2021
NR,HP,1598,0,32.2,18-07-2021
NR,Punjab,12672,450,296.6,18-07-2021
NR,J&K(UT) & Ladakh(UT),2328,250,46.7,18-07-2021
WR,Chhattisgarh,4814,26,115.7,18-07-2021
WR,Gujarat,16194,0,353.3,18-07-2021
WR,MP,11194,0,253.8,18-07-2021
WR,Maharashtra,19107,0,429.4,18-07-2021
WR,Goa,543,0,11.5,18-07-2021
NR,Chandigarh,353,0,7.1,18-07-2021
WR,Goa,596,0,11.7,18-07-2022
WR,Maharashtra,20187,0,433.2,18-07-2022
NR,Chandigarh,365,0,7.1,18-07-2022
WR,Gujarat,14580,0,325.2,18-07-2022
WR,Chhattisgarh,3884,0,91.4,18-07-2022
WR,MP,9772,0,218.2,18-07-2022
NR,J&K(UT) & Ladakh(UT),2543,0,53,18-07-2022
NER,Assam,2070,0,40.5,18-07-2022
NR,Uttarakhand,2255,35,49.9,18-07-2022
NR,UP,24733,0,526.5,18-07-2022
WR,DNHDDPDCL,1126,0,25.8,18-07-2022
NR,Delhi,6847,0,134.3,18-07-2022
NR,Rajasthan,10513,219,233.1,18-07-2022
NR,Haryana,9745,625,208.7,18-07-2022
NR,Punjab,12139,0,265.5,18-07-2022
NR,HP,1634,0,33.5,18-07-2022
WR,AMNSIL,785,0,16.7,18-07-2022
NER,Manipur,193,29,2.7,18-07-2022
SR,Telangana,8524,0,162.9,18-07-2022
SR,Kerala,3273,0,66.5,18-07-2022
SR,Andhra Pradesh,8386,0,178.8,18-07-2022
SR,Puducherry,422,0,9.5,18-07-2022
ER,Bihar,6523,1144,140.6,18-07-2022
ER,DVC,3559,0,74.9,18-07-2022
ER,Jharkhand,1467,89,28.8,18-07-2022
ER,Odisha,5768,0,125.7,18-07-2022
SR,Tamil Nadu,15290,0,329.1,18-07-2022
ER,Sikkim,90,0,1.5,18-07-2022
NER,Arunachal Pradesh,143,0,2.6,18-07-2022
NER,Tripura,306,0,5.6,18-07-2022
NER,Nagaland,151,0,2.9,18-07-2022
NER,Mizoram,100,0,1.6,18-07-2022
NER,Meghalaya,340,0,6.2,18-07-2022
SR,Karnataka,8750,0,162.1,18-07-2022
ER,West Bengal,9522,0,190.3,18-07-2022
SR,Kerala,2799,0,51.3,18-08-2013
SR,Karnataka,6528,400,137.2,18-08-2013
SR,Andhra Pradesh,9817,0,220.6,18-08-2013
WR,Essar steel,367,1,8.4,18-08-2013
WR,DNH,652,2,15.4,18-08-2013
WR,MP,5392,13,107.7,18-08-2013
WR,Goa,340,1,6.4,18-08-2013
WR,Maharashtra,13795,235,305.5,18-08-2013
WR,Gujarat,8789,71,197.7,18-08-2013
WR,Chhattisgarh,2487,13,55.1,18-08-2013
WR,DD,260,1,6.3,18-08-2013
SR,Tamil Nadu,10063,234,219.7,18-08-2013
NER,Assam,1120,121,22.2,18-08-2013
ER,Bihar,1987,400,41.7,18-08-2013
ER,Jharkhand,902,0,18.5,18-08-2013
ER,Odisha,3421,0,67.6,18-08-2013
ER,West Bengal,6348,12,121.2,18-08-2013
ER,Sikkim,74,0,0.9,18-08-2013
NER,Arunachal Pradesh,87,15,1.6,18-08-2013
NR,Chandigarh,234,0,4.5,18-08-2013
NER,Manipur,97,8,1.3,18-08-2013
NER,Meghalaya,234,10,3.8,18-08-2013
NER,Mizoram,53,2,1,18-08-2013
NER,Nagaland,103,7,1.7,18-08-2013
NER,Tripura,178,34,3.3,18-08-2013
SR,Pondy,269,0,6.4,18-08-2013
NR,J&K,1470,100,26.7,18-08-2013
ER,DVC,2538,55,55.5,18-08-2013
NR,Uttarakhand,1554,0,33,18-08-2013
NR,UP,10404,1300,226.9,18-08-2013
NR,Delhi,3772,0,79.9,18-08-2013
NR,Rajasthan,5799,0,120.3,18-08-2013
NR,Haryana,5916,0,121.8,18-08-2013
NR,Punjab,6089,0,127.7,18-08-2013
NR,HP,1049,0,22.4,18-08-2013
WR,DNH,629,0,14.3,18-08-2014
WR,DD,267,0,5.6,18-08-2014
WR,Goa,352,0,7.5,18-08-2014
WR,Maharashtra,17615,616,374.5,18-08-2014
WR,MP,6604,333,134.4,18-08-2014
WR,Gujarat,9965,0,218.6,18-08-2014
WR,Chhattisgarh,3021,185,68.4,18-08-2014
NR,Uttarakhand,1722,0,35.4,18-08-2014
NR,J&K,1523,100,30.9,18-08-2014
NR,HP,1126,-40,23.7,18-08-2014
WR,Essar steel,403,0,8.6,18-08-2014
NR,UP,10711,3635,251.8,18-08-2014
NR,Rajasthan,7844,322,179.8,18-08-2014
NR,Haryana,8061,0,176.9,18-08-2014
NR,Punjab,8809,0,199.7,18-08-2014
NR,Chandigarh,263,0,5.4,18-08-2014
SR,Andhra Pradesh,5967,800,137.9,18-08-2014
NR,Delhi,4903,26,99.4,18-08-2014
SR,Karnataka,7560,500,158.3,18-08-2014
SR,Telangana,6373,1000,140,18-08-2014
NER,Tripura,183,46,2.9,18-08-2014
NER,Nagaland,102,3,1.6,18-08-2014
NER,Mizoram,77,8,1.1,18-08-2014
NER,Manipur,138,2,2.5,18-08-2014
NER,Assam,1194,198,23.7,18-08-2014
NER,Arunachal Pradesh,83,17,1.3,18-08-2014
ER,Sikkim,86,0,1.3,18-08-2014
NER,Meghalaya,266,0,4.2,18-08-2014
ER,Odisha,3613,0,72,18-08-2014
ER,Jharkhand,969,0,19.7,18-08-2014
ER,DVC,2198,0,50.6,18-08-2014
ER,West Bengal,7020,0,133.9,18-08-2014
ER,Bihar,2130,200,44.8,18-08-2014
SR,Pondy,289,0,5.7,18-08-2014
SR,Tamil Nadu,11351,453,242.3,18-08-2014
SR,Kerala,3092,200,58.2,18-08-2014
SR,Tamil Nadu,12929,652,277,18-08-2015
SR,Pondy,336,0,6.7,18-08-2015
ER,Bihar,2846,0,60.1,18-08-2015
ER,DVC,2434,0,56.8,18-08-2015
ER,Jharkhand,1155,0,22.6,18-08-2015
ER,Odisha,3624,0,70.7,18-08-2015
NER,Arunachal Pradesh,94,3,1.4,18-08-2015
ER,Sikkim,87,0,1.2,18-08-2015
SR,Kerala,3069,0,61.3,18-08-2015
NER,Assam,1290,121,23.7,18-08-2015
NER,Manipur,142,1,2.4,18-08-2015
NER,Meghalaya,272,3,4.1,18-08-2015
NER,Mizoram,75,4,1.2,18-08-2015
NER,Nagaland,100,7,1.8,18-08-2015
ER,West Bengal,7546,0,139.3,18-08-2015
SR,Karnataka,7037,1000,154.5,18-08-2015
WR,DD,298,0,6.6,18-08-2015
WR,Essar steel,295,0,5.7,18-08-2015
NER,Tripura,214,1,3.6,18-08-2015
NR,Punjab,8911,0,204.2,18-08-2015
NR,Haryana,6914,0,147.2,18-08-2015
NR,Rajasthan,7710,0,167,18-08-2015
NR,Delhi,4883,0,99.2,18-08-2015
NR,UP,11921,3705,269.8,18-08-2015
NR,Uttarakhand,1834,0,37.9,18-08-2015
NR,HP,1259,0,26.3,18-08-2015
NR,J&K,1830,457,35.7,18-08-2015
NR,Chandigarh,314,0,6.1,18-08-2015
WR,Gujarat,12188,0,272.5,18-08-2015
WR,MP,6147,0,130,18-08-2015
WR,Maharashtra,18915,26,395.2,18-08-2015
WR,Goa,409,0,8.7,18-08-2015
WR,DNH,688,0,16,18-08-2015
SR,Andhra Pradesh,6500,0,141.7,18-08-2015
WR,Chhattisgarh,3355,297,77.1,18-08-2015
SR,Telangana,6332,0,142.9,18-08-2015
NER,Nagaland,107,2,1.8,18-08-2016
WR,DD,284,0,5.8,18-08-2016
WR,Goa,443,0,9.2,18-08-2016
WR,Maharashtra,17517,0,377.3,18-08-2016
WR,MP,5529,0,121.9,18-08-2016
WR,Gujarat,11309,0,246,18-08-2016
WR,Chhattisgarh,2958,0,71.1,18-08-2016
NR,Chandigarh,271,0,5.6,18-08-2016
NR,J&K,1840,460,36.1,18-08-2016
NR,HP,1127,0,23.7,18-08-2016
NR,Uttarakhand,1601,0,35.6,18-08-2016
NR,UP,12673,0,269.9,18-08-2016
NR,Delhi,4631,0,93.3,18-08-2016
NR,Rajasthan,7819,0,170.7,18-08-2016
NR,Haryana,7371,0,160,18-08-2016
NER,Tripura,247,5,4.1,18-08-2016
WR,DNH,708,0,16.1,18-08-2016
WR,Essar steel,456,0,9.2,18-08-2016
NR,Punjab,9486,0,215,18-08-2016
SR,Telangana,7770,0,174,18-08-2016
SR,Andhra Pradesh,7512,0,165.4,18-08-2016
NER,Meghalaya,269,0,4.9,18-08-2016
NER,Manipur,135,0,2.1,18-08-2016
NER,Assam,1490,161,31.2,18-08-2016
NER,Arunachal Pradesh,105,1,2,18-08-2016
ER,Sikkim,85,0,1.4,18-08-2016
ER,West Bengal,7490,0,135.4,18-08-2016
NER,Mizoram,69,3,1.2,18-08-2016
ER,Jharkhand,789,0,18.8,18-08-2016
ER,DVC,2394,0,44.5,18-08-2016
ER,Bihar,3325,0,56,18-08-2016
SR,Pondy,354,0,7.6,18-08-2016
SR,Tamil Nadu,14285,0,311.9,18-08-2016
SR,Kerala,3377,0,63.6,18-08-2016
ER,Odisha,3715,0,74,18-08-2016
SR,Karnataka,8789,600,186.4,18-08-2016
WR,Essar steel,340,0,6.1,18-08-2017
WR,DNH,704,0,16.1,18-08-2017
WR,DD,296,0,6.6,18-08-2017
WR,Goa,409,0,8.7,18-08-2017
WR,Maharashtra,20015,0,438.9,18-08-2017
WR,MP,7933,0,181,18-08-2017
NR,J&K,2048,512,40.5,18-08-2017
WR,Chhattisgarh,3684,0,84.2,18-08-2017
NR,Chandigarh,335,0,6.5,18-08-2017
NR,HP,1369,0,29.1,18-08-2017
NR,Uttarakhand,1987,0,42,18-08-2017
NR,UP,17660,1545,388,18-08-2017
SR,Andhra Pradesh,6587,0,145,18-08-2017
NR,Delhi,6087,0,124.5,18-08-2017
WR,Gujarat,14803,0,327.5,18-08-2017
SR,Telangana,7895,0,168,18-08-2017
ER,Odisha,4335,0,78.1,18-08-2017
SR,Kerala,3349,0,66,18-08-2017
NR,Rajasthan,10334,771,229.5,18-08-2017
NER,Nagaland,102,6,2.3,18-08-2017
NER,Mizoram,76,2,1.3,18-08-2017
NER,Meghalaya,290,0,4.6,18-08-2017
NER,Manipur,161,1,2.1,18-08-2017
NER,Assam,1536,173,28.7,18-08-2017
SR,Karnataka,8104,0,176,18-08-2017
NER,Arunachal Pradesh,127,1,2.2,18-08-2017
ER,West Bengal,7973,0,142.1,18-08-2017
ER,Jharkhand,1229,0,23.1,18-08-2017
ER,DVC,2821,0,62.3,18-08-2017
ER,Bihar,3927,0,72.1,18-08-2017
SR,Pondy,334,0,7,18-08-2017
SR,Tamil Nadu,12418,0,272,18-08-2017
ER,Sikkim,92,0,1.1,18-08-2017
NR,Haryana,9393,227,205.6,18-08-2017
NER,Tripura,240,5,4.6,18-08-2017
NR,Punjab,10916,0,249.6,18-08-2017
NR,Haryana,8277,0,178.3,18-08-2018
NER,Arunachal Pradesh,123,3,2.3,18-08-2018
NER,Assam,1741,94,35,18-08-2018
NER,Manipur,162,3,2.3,18-08-2018
NER,Meghalaya,305,0,5.4,18-08-2018
NR,Punjab,9930,0,220.7,18-08-2018
NER,Tripura,283,1,4.6,18-08-2018
NER,Nagaland,123,3,2.3,18-08-2018
NER,Tripura,279,0,4.8,18-08-2018
NER,Nagaland,119,6,2.3,18-08-2018
NER,Mizoram,79,2,1.4,18-08-2018
NER,Meghalaya,295,5,4.9,18-08-2018
NER,Manipur,151,13,2.1,18-08-2018
NER,Assam,1665,155,35.6,18-08-2018
NER,Arunachal Pradesh,122,5,2.3,18-08-2018
ER,Sikkim,72,0,0.8,18-08-2018
ER,West Bengal,8535,0,170.9,18-08-2018
ER,Odisha,4548,0,94.3,18-08-2018
ER,Jharkhand,1111,0,24.8,18-08-2018
ER,DVC,2903,0,67.9,18-08-2018
ER,Bihar,4734,0,99.4,18-08-2018
SR,Pondy,336,0,7.2,18-08-2018
SR,Tamil Nadu,12490,0,284.4,18-08-2018
ER,Sikkim,89,0,1.1,18-08-2018
ER,West Bengal,8970,0,185,18-08-2018
ER,Odisha,5116,0,106.1,18-08-2018
ER,Jharkhand,1072,0,25.3,18-08-2018
NR,Punjab,9997,0,224.9,18-08-2018
NR,Haryana,8940,0,192.4,18-08-2018
NR,Rajasthan,10048,0,226.2,18-08-2018
NR,Delhi,5704,6,117.9,18-08-2018
NR,UP,18397,0,393.5,18-08-2018
NR,Uttarakhand,1900,0,41.7,18-08-2018
NR,HP,1479,0,29,18-08-2018
NR,J&K,1906,476,36.4,18-08-2018
NR,Chandigarh,257,0,5.2,18-08-2018
WR,Chhattisgarh,3846,0,88.2,18-08-2018
WR,Gujarat,12897,0,284.1,18-08-2018
SR,Kerala,2537,0,45.1,18-08-2018
WR,MP,8237,0,179.9,18-08-2018
WR,DD,342,0,7.7,18-08-2018
WR,DNH,776,0,17.9,18-08-2018
WR,Essar steel,585,0,12.4,18-08-2018
SR,Andhra Pradesh,7124,0,161.6,18-08-2018
SR,Telangana,8375,0,177.3,18-08-2018
SR,Karnataka,7745,0,161,18-08-2018
SR,Kerala,2505,0,44.5,18-08-2018
SR,Tamil Nadu,14107,0,289.6,18-08-2018
SR,Pondy,352,0,7.6,18-08-2018
ER,Bihar,4891,0,95.9,18-08-2018
ER,DVC,2929,0,67.9,18-08-2018
WR,Maharashtra,17532,0,387.7,18-08-2018
SR,Karnataka,7682,0,157.5,18-08-2018
WR,Essar steel,526,0,11,18-08-2018
NER,Mizoram,77,5,1.5,18-08-2018
NR,Rajasthan,9976,0,217.2,18-08-2018
NR,Delhi,5357,0,108,18-08-2018
NR,UP,17750,0,382.5,18-08-2018
NR,Uttarakhand,1893,0,39.8,18-08-2018
NR,HP,1251,0,26.2,18-08-2018
NR,J&K,2050,513,40.5,18-08-2018
NR,Chandigarh,264,0,5,18-08-2018
WR,Chhattisgarh,3600,0,82.9,18-08-2018
WR,Gujarat,12349,0,280.8,18-08-2018
WR,MP,7890,0,175.7,18-08-2018
SR,Telangana,7697,0,163.2,18-08-2018
WR,Goa,441,0,9,18-08-2018
WR,Maharashtra,17146,0,382.2,18-08-2018
WR,DD,309,0,7.1,18-08-2018
WR,DNH,768,0,17.9,18-08-2018
SR,Andhra Pradesh,7039,0,158.2,18-08-2018
NER,Meghalaya,304,0,5.3,18-08-2019
SR,Karnataka,7439,0,142.7,18-08-2019
SR,Kerala,3060,0,60,18-08-2019
SR,Tamil Nadu,11604,0,260.2,18-08-2019
ER,Bihar,5179,0,104.9,18-08-2019
ER,DVC,2863,0,60.6,18-08-2019
ER,Jharkhand,1061,0,21.8,18-08-2019
ER,Odisha,4351,0,89.8,18-08-2019
ER,Sikkim,50,0,0.6,18-08-2019
SR,Telangana,10308,0,217,18-08-2019
NER,Arunachal Pradesh,126,3,2.3,18-08-2019
NER,Assam,1734,114,33.3,18-08-2019
NER,Manipur,164,2,2.3,18-08-2019
NER,Mizoram,86,3,1.7,18-08-2019
NER,Nagaland,125,2,2.2,18-08-2019
NER,Tripura,286,7,4.5,18-08-2019
ER,West Bengal,7277,0,144.9,18-08-2019
SR,Andhra Pradesh,7415,0,164.1,18-08-2019
SR,Pondy,308,0,6.5,18-08-2019
WR,DNH,778,0,18.4,18-08-2019
NR,Punjab,6257,0,124.2,18-08-2019
NR,Haryana,6664,168,125.4,18-08-2019
NR,Rajasthan,7691,0,163,18-08-2019
NR,Delhi,4408,0,89.1,18-08-2019
WR,Essar steel,287,0,4.7,18-08-2019
NR,UP,17945,700,353.2,18-08-2019
NR,HP,1146,0,34,18-08-2019
NR,J&K,2048,512,38.8,18-08-2019
NR,Uttarakhand,1424,0,30,18-08-2019
WR,Chhattisgarh,4099,0,96,18-08-2019
WR,Gujarat,12439,0,282.4,18-08-2019
WR,MP,7574,0,169.2,18-08-2019
WR,Maharashtra,17739,0,399.2,18-08-2019
WR,Goa,541,0,11.7,18-08-2019
WR,DD,312,0,7.1,18-08-2019
NR,Chandigarh,195,0,3.6,18-08-2019
WR,MP,8357,0,186.8,18-08-2020
WR,DNH,687,0,15.4,18-08-2020
WR,DD,277,0,6,18-08-2020
WR,Goa,402,0,8.7,18-08-2020
WR,AMNSIL,767,0,17.4,18-08-2020
WR,Maharashtra,16852,0,350.6,18-08-2020
WR,Gujarat,11820,0,257.9,18-08-2020
NR,Delhi,5025,0,108,18-08-2020
NR,Chandigarh,328,0,6.3,18-08-2020
NR,J&K(UT) & Ladakh(UT),2263,0,41.5,18-08-2020
NR,Punjab,11938,0,269.6,18-08-2020
NR,HP,1421,0,29.8,18-08-2020
NR,UP,20784,0,425.1,18-08-2020
NR,Uttarakhand,1854,0,41.6,18-08-2020
SR,Andhra Pradesh,7800,0,160.7,18-08-2020
WR,Chhattisgarh,3465,0,81.9,18-08-2020
SR,Telangana,6827,0,140.4,18-08-2020
NR,Rajasthan,10500,0,234.4,18-08-2020
SR,Kerala,3207,0,65.4,18-08-2020
NER,Tripura,276,0,4.5,18-08-2020
NER,Nagaland,129,1,2.3,18-08-2020
NER,Mizoram,85,1,1.6,18-08-2020
NER,Meghalaya,307,0,5.5,18-08-2020
NR,Haryana,8839,0,195.7,18-08-2020
NER,Manipur,173,1,3,18-08-2020
NER,Assam,1888,90,33.6,18-08-2020
SR,Karnataka,7745,0,147.6,18-08-2020
NER,Arunachal Pradesh,108,1,1.7,18-08-2020
ER,West Bengal,7708,0,166,18-08-2020
ER,Odisha,4511,0,93.1,18-08-2020
ER,Jharkhand,1463,0,28.5,18-08-2020
ER,DVC,2960,0,64.7,18-08-2020
ER,Bihar,5852,0,116.1,18-08-2020
SR,Puducherry,349,0,7,18-08-2020
SR,Tamil Nadu,13866,0,305.6,18-08-2020
ER,Sikkim,85,0,1,18-08-2020
WR,Gujarat,18932,0,415.1,18-08-2021
NR,Punjab,12769,0,303,18-08-2021
NR,Haryana,11210,0,251.1,18-08-2021
ER,DVC,3081,0,67.3,18-08-2021
ER,Bihar,6084,0,123.7,18-08-2021
SR,Puducherry,405,0,8.5,18-08-2021
SR,Tamil Nadu,14795,0,322.8,18-08-2021
SR,Karnataka,10318,0,188.3,18-08-2021
SR,Telangana,8768,0,174.1,18-08-2021
ER,Jharkhand,1398,252,28.3,18-08-2021
SR,Andhra Pradesh,8968,0,188.7,18-08-2021
WR,MP,9820,0,218.9,18-08-2021
WR,Maharashtra,20823,0,448.6,18-08-2021
WR,Goa,563,0,12.7,18-08-2021
WR,DD,327,0,7.3,18-08-2021
WR,DNH,853,0,19.3,18-08-2021
WR,Chhattisgarh,4111,0,99.5,18-08-2021
WR,AMNSIL,846,0,17.8,18-08-2021
ER,Odisha,5810,0,110.3,18-08-2021
SR,Kerala,3412,0,70.7,18-08-2021
ER,Sikkim,89,0,1.5,18-08-2021
NR,Rajasthan,14578,0,308,18-08-2021
NR,Delhi,6453,0,134.6,18-08-2021
ER,West Bengal,8282,0,169.3,18-08-2021
NR,UP,23603,360,500.8,18-08-2021
NR,Uttarakhand,2157,0,46.1,18-08-2021
NR,HP,1589,0,35.4,18-08-2021
NR,Chandigarh,356,0,6.8,18-08-2021
NR,J&K(UT) & Ladakh(UT),2433,250,49.5,18-08-2021
NER,Nagaland,134,0,2.5,18-08-2021
NER,Mizoram,107,0,1.6,18-08-2021
NER,Meghalaya,323,0,5.9,18-08-2021
NER,Manipur,193,0,2.6,18-08-2021
NER,Assam,1946,0,36.6,18-08-2021
NER,Arunachal Pradesh,132,0,2.4,18-08-2021
NER,Tripura,260,0,4.6,18-08-2021
NR,J&K(UT) & Ladakh(UT),2690,0,51.1,18-08-2022
WR,MP,9551,0,213.5,18-08-2022
WR,Gujarat,12768,0,287.8,18-08-2022
WR,Chhattisgarh,4374,0,100.4,18-08-2022
NR,Chandigarh,346,0,7,18-08-2022
NR,HP,1514,0,31.4,18-08-2022
NR,Punjab,13219,0,302.7,18-08-2022
NR,UP,25327,110,510.4,18-08-2022
NR,Delhi,5808,0,119.9,18-08-2022
NR,Rajasthan,9535,0,204.1,18-08-2022
NR,Haryana,10269,225,221.6,18-08-2022
WR,Maharashtra,20834,0,454.9,18-08-2022
NR,Uttarakhand,2224,0,49.4,18-08-2022
WR,Goa,613,0,12.7,18-08-2022
NER,Arunachal Pradesh,139,0,2.6,18-08-2022
WR,AMNSIL,841,0,19,18-08-2022
NER,Tripura,281,0,5.6,18-08-2022
NER,Nagaland,157,0,2.8,18-08-2022
NER,Mizoram,110,0,1.7,18-08-2022
NER,Meghalaya,323,0,5.9,18-08-2022
NER,Manipur,180,0,2.6,18-08-2022
ER,Sikkim,98,0,1.6,18-08-2022
ER,West Bengal,9712,0,205.6,18-08-2022
ER,Odisha,6300,0,138.3,18-08-2022
ER,Jharkhand,1545,0,33.6,18-08-2022
ER,DVC,3450,0,75.1,18-08-2022
ER,Bihar,6810,117,143.4,18-08-2022
SR,Puducherry,425,0,9.5,18-08-2022
SR,Tamil Nadu,15982,0,343.3,18-08-2022
SR,Kerala,3739,0,79.3,18-08-2022
SR,Karnataka,10634,0,219,18-08-2022
SR,Telangana,12214,0,220.4,18-08-2022
SR,Andhra Pradesh,10215,0,211.6,18-08-2022
WR,DNHDDPDCL,1179,0,27.6,18-08-2022
NER,Assam,2250,0,47.2,18-08-2022
WR,Maharashtra,13841,55,303.9,18-09-2013
WR,DD,257,0,6.2,18-09-2013
NR,Uttarakhand,1466,250,30.8,18-09-2013
NR,HP,1166,37,22.5,18-09-2013
NR,J&K,1520,100,29.3,18-09-2013
NR,Chandigarh,237,0,4.8,18-09-2013
WR,Chhattisgarh,2925,10,64.3,18-09-2013
WR,Gujarat,11153,33,256.3,18-09-2013
WR,MP,7155,0,150.1,18-09-2013
ER,Sikkim,75,0,1.3,18-09-2013
WR,Goa,362,0,7.3,18-09-2013
ER,West Bengal,6464,28,123.6,18-09-2013
WR,DNH,636,0,15.2,18-09-2013
WR,Essar steel,314,0,6.4,18-09-2013
SR,Andhra Pradesh,10079,0,234.9,18-09-2013
SR,Karnataka,6436,300,127.3,18-09-2013
SR,Kerala,2897,0,51.3,18-09-2013
SR,Tamil Nadu,11457,195,243.4,18-09-2013
SR,Pondy,310,0,6.3,18-09-2013
ER,Bihar,1867,0,39.8,18-09-2013
ER,DVC,2467,0,53.3,18-09-2013
NR,UP,11118,1580,245.9,18-09-2013
NR,Delhi,4430,0,94.7,18-09-2013
NR,Rajasthan,8291,0,181.7,18-09-2013
NR,Haryana,7119,42,160.5,18-09-2013
ER,Jharkhand,835,0,17.9,18-09-2013
NER,Tripura,195,23,3,18-09-2013
NER,Nagaland,95,7,1.6,18-09-2013
NER,Mizoram,61,2,1,18-09-2013
ER,Odisha,3456,0,72.1,18-09-2013
