source,NR,WR,SR,ER,NER,All India,date
Wind Gen(MU),8,23,96,0,0,126,19-06-2013
Total,808,717,699,320,35,2579,19-06-2013
Total,889,726,710,295,36,2655,20-06-2013
Wind Gen(MU),18,25,98,0,0,141,20-06-2013
Hydro,257,66,64,59,17,464,20-06-2013
Hydro,271,61,68,63,15,478,21-06-2013
Wind Gen(MU),30,48,102,0,0,180,21-06-2013
Total,922,733,717,312,36,2720,21-06-2013
Total,934,744,703,308,34,2723,22-06-2013
Hydro,278,57,60,66,16,476,22-06-2013
Wind Gen(MU),31,54,106,0,0,190,22-06-2013
Wind Gen(MU),27,39,95,0,0,161,23-06-2013
Hydro,280,57,43,63,17,461,23-06-2013
Total,938,718,667,316,33,2672,23-06-2013
Wind Gen(MU),25,41,100,0,0,166,24-06-2013
Total,957,738,678,311,34,2718,24-06-2013
Hydro,260,60,50,68,16,455,24-06-2013
Total,940,726,665,326,31,2688,25-06-2013
Wind Gen(MU),18,44,90,0,0,151,25-06-2013
Hydro,275,52,62,75,17,480,25-06-2013
Total,987,716,685,312,33,2733,26-06-2013
Hydro,280,60,63,69,18,490,26-06-2013
Wind Gen(MU),26,53,90,0,0,168,26-06-2013
Hydro,248,57,65,71,24,464,27-06-2013
Total,923,713,695,315,34,2680,27-06-2013
Wind Gen(MU),33,64,96,0,0,193,27-06-2013
Wind Gen(MU),33,60,82,0,0,174,29-06-2013
Hydro,277,55,71,75,26,504,29-06-2013
Total,884,724,693,300,35,2636,29-06-2013
Hydro,263,47,62,72,24,468,30-06-2013
Wind Gen(MU),25,55,77,0,0,157,30-06-2013
Total,802,715,674,281,34,2505,30-06-2013
Hydro,280,36,76,77,24,492,01-07-2013
Total,918,751,698,299,34,2700,01-07-2013
Wind Gen(MU),19,54,84,0,0,157,01-07-2013
Wind Gen(MU),10,58,96,0,0,164,02-07-2013
Total,939,760,694,313,35,2741,02-07-2013
Hydro,287,39,70,81,21,497,02-07-2013
Hydro,284,42,72,83,20,501,03-07-2013
Wind Gen(MU),10,73,91,0,0,174,03-07-2013
Total,937,749,695,319,36,2736,03-07-2013
Total,957,713,685,308,35,2698,04-07-2013
Hydro,291,49,67,83,19,508,04-07-2013
Wind Gen(MU),7,43,93,0,0,143,04-07-2013
Wind Gen(MU),11,45,78,0,0,134,05-07-2013
Total,941,718,694,329,35,2717,05-07-2013
Hydro,294,53,82,80,19,527,05-07-2013
Total,945,731,692,316,36,2719,06-07-2013
Wind Gen(MU),10,26,78,0,0,114,06-07-2013
Hydro,255,51,75,75,23,478,06-07-2013
Hydro,284,45,68,72,24,492,07-07-2013
Wind Gen(MU),14,28,56,0,0,98,07-07-2013
Total,928,718,648,301,34,2628,07-07-2013
Wind Gen(MU),22,42,68,0,0,132,08-07-2013
Hydro,276,48,67,76,21,489,08-07-2013
Total,894,748,668,312,32,2654,08-07-2013
Hydro,294,41,67,61,23,484,09-07-2013
Wind Gen(MU),28,54,67,0,0,149,09-07-2013
Total,879,746,687,319,33,2664,09-07-2013
Wind Gen(MU),20,60,61,0,0,140,10-07-2013
Hydro,289,38,61,66,24,478,10-07-2013
Total,867,732,674,326,35,2633,10-07-2013
Total,918,731,657,323,35,2664,11-07-2013
Wind Gen(MU),9,50,62,0,0,120,11-07-2013
Hydro,286,36,55,76,19,472,11-07-2013
Hydro,289,46,60,76,17,488,12-07-2013
Wind Gen(MU),4,37,73,0,0,113,12-07-2013
Total,934,708,655,322,34,2653,12-07-2013
Wind Gen(MU),7,47,86,0,0,140,13-07-2013
Total,944,697,658,319,36,2655,13-07-2013
Hydro,295,41,65,79,19,498,13-07-2013
Total,924,676,645,314,34,2593,14-07-2013
Hydro,296,34,56,77,20,483,14-07-2013
Wind Gen(MU),16,45,67,0,0,127,14-07-2013
Hydro,297,41,65,76,18,497,15-07-2013
Wind Gen(MU),25,53,79,0,0,156,15-07-2013
Total,948,704,673,326,35,2685,15-07-2013
Hydro,296,46,57,77,20,496,16-07-2013
Total,951,717,671,328,36,2703,16-07-2013
Wind Gen(MU),13,49,82,0,0,144,16-07-2013
Total,966,724,664,334,37,2724,17-07-2013
Wind Gen(MU),13,53,84,0,0,150,17-07-2013
Hydro,294,60,60,78,20,512,17-07-2013
Wind Gen(MU),24,63,86,0,0,173,18-07-2013
Total,967,721,662,338,35,2722,18-07-2013
Hydro,287,64,61,80,21,513,18-07-2013
Total,964,715,646,328,36,2688,19-07-2013
Hydro,286,72,73,81,22,533,19-07-2013
Wind Gen(MU),29,61,81,0,0,171,19-07-2013
Wind Gen(MU),15,40,69,0,0,124,20-07-2013
Hydro,271,68,85,71,20,515,20-07-2013
Total,891,709,636,323,35,2592,20-07-2013
Total,872,691,619,320,36,2537,21-07-2013
Hydro,290,70,91,71,21,544,21-07-2013
Wind Gen(MU),6,43,60,0,0,110,21-07-2013
Wind Gen(MU),12,47,73,0,0,131,22-07-2013
Hydro,293,79,99,67,21,558,22-07-2013
Total,933,712,646,322,35,2648,22-07-2013
Hydro,298,70,97,68,20,553,23-07-2013
Total,918,704,636,324,36,2617,23-07-2013
Wind Gen(MU),5,48,77,0,0,130,23-07-2013
Hydro,292,81,107,70,20,570,24-07-2013
Total,928,701,651,327,36,2643,24-07-2013
Wind Gen(MU),3,38,77,0,0,119,24-07-2013
Hydro,276,79,112,68,20,555,25-07-2013
Total,913,700,662,322,36,2633,25-07-2013
Wind Gen(MU),10,51,83,0,0,144,25-07-2013
Hydro,292,77,124,70,19,581,26-07-2013
Wind Gen(MU),7,62,79,0,0,147,26-07-2013
Total,918,692,678,314,35,2637,26-07-2013
Wind Gen(MU),11,64,71,0,0,145,28-07-2013
Hydro,301,104,112,67,18,601,28-07-2013
Total,908,668,661,308,36,2579,28-07-2013
Total,940,686,692,301,36,2655,29-07-2013
Hydro,299,107,124,68,16,613,29-07-2013
Wind Gen(MU),15,69,78,0,0,162,29-07-2013
Hydro,308,115,128,74,16,641,30-07-2013
Wind Gen(MU),8,56,98,0,0,162,30-07-2013
Total,926,694,698,306,35,2660,30-07-2013
Wind Gen(MU),11,54,99,0,0,165,31-07-2013
Total,932,685,678,312,33,2640,31-07-2013
Hydro,302,106,138,83,17,646,31-07-2013
Wind Gen(MU),4,43,96,0,0,142,01-08-2013
Total,903,677,675,311,36,2603,01-08-2013
Hydro,291,116,150,70,17,644,01-08-2013
Wind Gen(MU),5,41,93,0,0,138,02-08-2013
Total,932,671,691,318,36,2648,02-08-2013
Hydro,296,98,170,71,16,651,02-08-2013
Total,950,680,700,322,36,2687,03-08-2013
Wind Gen(MU),6,37,80,0,0,122,03-08-2013
Hydro,290,107,185,78,15,675,03-08-2013
