source,NR,WR,SR,ER,NER,All India,date
Total,1009,1269,748,602,60,3687,08-07-2020
Coal,501,984,357,448,9,2299,08-07-2020
Total,1093,1289,707,607,65,3760,10-07-2020
Nuclear,26,32,46,0,0,104,10-07-2020
Coal,545,993,380,473,8,2399,10-07-2020
"Gas, Naptha & Diesel",30,74,21,0,25,150,10-07-2020
"RES (Wind, Solar, Biomass & Others)",98,152,174,5,0,429,10-07-2020
Lignite,29,9,18,0,0,56,10-07-2020
Hydro,365,28,69,129,31,622,10-07-2020
Hydro,363,26,67,116,31,603,11-07-2020
Nuclear,26,35,47,0,0,108,11-07-2020
Lignite,29,10,13,0,0,51,11-07-2020
Coal,501,990,345,432,6,2274,11-07-2020
"RES (Wind, Solar, Biomass & Others)",111,143,199,5,0,457,11-07-2020
Total,1067,1275,692,552,62,3648,11-07-2020
"Gas, Naptha & Diesel",37,72,21,0,25,154,11-07-2020
"RES (Wind, Solar, Biomass & Others)",106,154,226,5,0,491,12-07-2020
"Gas, Naptha & Diesel",38,69,18,0,25,150,12-07-2020
Total,984,1181,649,533,62,3409,12-07-2020
Hydro,351,21,56,134,31,593,12-07-2020
Lignite,28,11,13,0,0,52,12-07-2020
Coal,435,890,289,393,6,2014,12-07-2020
Nuclear,27,35,47,0,0,109,12-07-2020
Hydro,358,33,75,148,32,646,13-07-2020
Nuclear,26,32,47,0,0,106,13-07-2020
"Gas, Naptha & Diesel",36,87,18,0,26,167,13-07-2020
"RES (Wind, Solar, Biomass & Others)",77,88,212,5,0,382,13-07-2020
Coal,486,1006,351,467,7,2318,13-07-2020
Total,1012,1258,722,619,65,3676,13-07-2020
Lignite,27,12,18,0,0,57,13-07-2020
Coal,535,1069,383,503,7,2497,14-07-2020
Total,1061,1315,745,658,63,3841,14-07-2020
"RES (Wind, Solar, Biomass & Others)",71,66,194,5,0,337,14-07-2020
"Gas, Naptha & Diesel",45,89,19,0,25,177,14-07-2020
Nuclear,26,32,47,0,0,105,14-07-2020
Hydro,358,46,84,150,31,668,14-07-2020
Lignite,26,13,18,0,0,58,14-07-2020
"RES (Wind, Solar, Biomass & Others)",71,73,210,5,0,359,15-07-2020
"Gas, Naptha & Diesel",40,82,19,0,22,163,15-07-2020
Hydro,355,33,77,149,29,643,15-07-2020
Lignite,25,13,14,0,0,52,15-07-2020
Total,1063,1314,737,636,58,3809,15-07-2020
Coal,546,1080,370,482,7,2486,15-07-2020
Nuclear,26,33,47,0,0,106,15-07-2020
"RES (Wind, Solar, Biomass & Others)",71,73,241,5,0,389,16-07-2020
Lignite,23,13,13,0,0,49,16-07-2020
Hydro,346,29,70,152,29,626,16-07-2020
Nuclear,26,33,47,0,0,106,16-07-2020
"Gas, Naptha & Diesel",35,57,19,0,24,135,16-07-2020
Coal,575,1098,345,460,7,2486,16-07-2020
Total,1077,1303,735,616,61,3792,16-07-2020
"Gas, Naptha & Diesel",39,59,19,0,24,141,18-07-2020
"RES (Wind, Solar, Biomass & Others)",61,92,178,4,0,335,18-07-2020
Total,1073,1374,727,662,63,3899,18-07-2020
Hydro,354,33,88,152,30,657,18-07-2020
Lignite,21,15,18,0,0,54,18-07-2020
Coal,572,1142,377,505,8,2604,18-07-2020
Nuclear,26,33,47,0,0,106,18-07-2020
Coal,538,1074,365,454,6,2437,19-07-2020
Lignite,19,15,22,0,0,55,19-07-2020
Hydro,344,22,80,147,28,621,19-07-2020
Nuclear,26,33,47,0,0,106,19-07-2020
"RES (Wind, Solar, Biomass & Others)",88,122,151,4,0,365,19-07-2020
Total,1051,1312,684,604,58,3709,19-07-2020
"Gas, Naptha & Diesel",35,46,19,0,23,124,19-07-2020
Total,1037,1309,684,569,59,3657,20-07-2020
"RES (Wind, Solar, Biomass & Others)",111,139,148,4,0,403,20-07-2020
"Gas, Naptha & Diesel",34,48,17,0,22,121,20-07-2020
Coal,501,1048,346,433,7,2335,20-07-2020
Lignite,17,15,23,0,0,56,20-07-2020
Hydro,346,26,102,132,31,636,20-07-2020
Nuclear,26,33,47,0,0,106,20-07-2020
Total,963,1264,699,549,56,3532,21-07-2020
Nuclear,27,33,33,0,0,92,21-07-2020
Coal,455,1027,363,408,3,2255,21-07-2020
Lignite,17,15,26,0,0,59,21-07-2020
Hydro,344,23,111,137,30,645,21-07-2020
"RES (Wind, Solar, Biomass & Others)",100,118,150,4,0,371,21-07-2020
"Gas, Naptha & Diesel",21,49,17,0,23,109,21-07-2020
Nuclear,26,33,22,0,0,82,23-07-2020
Hydro,336,21,122,132,30,642,23-07-2020
Lignite,18,14,24,0,0,55,23-07-2020
Total,989,1343,713,595,62,3702,23-07-2020
Coal,492,1109,415,459,7,2481,23-07-2020
"Gas, Naptha & Diesel",19,75,15,0,25,134,23-07-2020
"RES (Wind, Solar, Biomass & Others)",98,92,115,4,0,309,23-07-2020
Nuclear,26,33,19,0,0,79,24-07-2020
"Gas, Naptha & Diesel",23,82,16,0,25,146,24-07-2020
Lignite,18,14,22,0,0,53,24-07-2020
Hydro,331,22,105,137,29,626,24-07-2020
"RES (Wind, Solar, Biomass & Others)",78,70,152,4,0,304,24-07-2020
Coal,520,1126,408,464,7,2525,24-07-2020
Total,997,1346,723,606,61,3733,24-07-2020
Hydro,342,25,98,139,29,632,25-07-2020
Nuclear,27,33,19,0,0,79,25-07-2020
Coal,532,1118,408,464,7,2529,25-07-2020
Total,1014,1306,748,607,62,3737,25-07-2020
"RES (Wind, Solar, Biomass & Others)",65,42,181,4,0,292,25-07-2020
"Gas, Naptha & Diesel",30,76,14,0,26,146,25-07-2020
Lignite,19,13,27,0,0,59,25-07-2020
"Gas, Naptha & Diesel",35,67,14,0,24,141,26-07-2020
Total,1038,1284,714,623,59,3717,26-07-2020
Hydro,348,23,72,143,27,612,26-07-2020
Lignite,17,13,21,0,0,51,26-07-2020
Coal,547,1081,370,476,7,2481,26-07-2020
Nuclear,26,33,23,0,0,82,26-07-2020
"RES (Wind, Solar, Biomass & Others)",64,68,214,4,0,350,26-07-2020
"RES (Wind, Solar, Biomass & Others)",88,95,249,4,0,436,27-07-2020
Coal,578,1141,401,493,7,2621,27-07-2020
Lignite,17,15,21,0,0,52,27-07-2020
Hydro,355,25,95,141,28,644,27-07-2020
Nuclear,26,33,24,0,0,83,27-07-2020
"Gas, Naptha & Diesel",37,74,14,0,26,151,27-07-2020
Total,1100,1382,805,639,62,3986,27-07-2020
Coal,584,1155,422,500,8,2669,28-07-2020
Lignite,19,16,24,0,0,59,28-07-2020
Hydro,352,28,102,131,31,643,28-07-2020
Nuclear,26,33,24,0,0,83,28-07-2020
"Gas, Naptha & Diesel",38,77,14,0,26,155,28-07-2020
"RES (Wind, Solar, Biomass & Others)",113,119,195,4,0,432,28-07-2020
Total,1132,1428,781,636,64,4041,28-07-2020
"RES (Wind, Solar, Biomass & Others)",103,97,201,4,0,406,29-07-2020
Lignite,17,16,18,0,0,51,29-07-2020
Coal,559,1145,412,481,7,2603,29-07-2020
Hydro,348,23,87,139,31,628,29-07-2020
"Gas, Naptha & Diesel",38,78,12,0,24,152,29-07-2020
Total,1091,1391,754,625,61,3923,29-07-2020
Nuclear,26,33,24,0,0,83,29-07-2020
Lignite,19,14,17,0,0,50,30-07-2020
Hydro,345,25,90,143,31,635,30-07-2020
Coal,521,1128,403,478,7,2535,30-07-2020
Nuclear,21,33,24,0,0,78,30-07-2020
"Gas, Naptha & Diesel",33,106,12,0,24,175,30-07-2020
"RES (Wind, Solar, Biomass & Others)",74,49,229,4,0,356,30-07-2020
Total,1014,1354,774,625,61,3829,30-07-2020
Total,1022,1360,806,647,61,3897,31-07-2020
"Gas, Naptha & Diesel",32,101,12,0,24,168,31-07-2020
Nuclear,21,33,24,0,0,79,31-07-2020
Hydro,348,14,90,146,30,628,31-07-2020
Lignite,17,13,17,0,0,47,31-07-2020
Coal,537,1150,423,497,6,2613,31-07-2020
"RES (Wind, Solar, Biomass & Others)",67,50,240,5,0,361,31-07-2020
Lignite,17,13,17,0,0,47,01-08-2020
Hydro,351,21,86,142,31,631,01-08-2020
Nuclear,22,33,24,0,0,79,01-08-2020
Coal,510,1143,394,492,7,2545,01-08-2020
"RES (Wind, Solar, Biomass & Others)",69,48,252,4,0,373,01-08-2020
"Gas, Naptha & Diesel",36,71,12,0,26,145,01-08-2020
Total,1004,1330,785,638,63,3820,01-08-2020
Total,1054,1294,775,592,63,3777,03-08-2020
"Gas, Naptha & Diesel",41,49,13,0,25,128,03-08-2020
Hydro,356,21,73,140,30,621,03-08-2020
Nuclear,21,33,23,0,0,77,03-08-2020
Lignite,17,10,20,0,0,47,03-08-2020
Coal,513,1084,338,447,7,2388,03-08-2020
"RES (Wind, Solar, Biomass & Others)",106,98,308,4,0,516,03-08-2020
"RES (Wind, Solar, Biomass & Others)",90,120,307,4,0,522,04-08-2020
Total,1049,1294,790,588,60,3781,04-08-2020
Nuclear,21,33,36,0,0,90,04-08-2020
Hydro,357,25,89,147,28,646,04-08-2020
Lignite,20,13,20,0,0,53,04-08-2020
Coal,531,1045,326,436,6,2344,04-08-2020
"Gas, Naptha & Diesel",30,58,13,0,26,127,04-08-2020
Coal,544,1056,298,419,6,2323,05-08-2020
Lignite,22,13,20,0,0,55,05-08-2020
Hydro,354,26,109,141,28,658,05-08-2020
Nuclear,21,32,46,0,0,99,05-08-2020
"RES (Wind, Solar, Biomass & Others)",66,91,295,4,0,456,05-08-2020
Total,1038,1289,781,565,56,3729,05-08-2020
"Gas, Naptha & Diesel",31,71,13,0,22,138,05-08-2020
Total,1048,1333,874,573,52,3879,07-08-2020
"RES (Wind, Solar, Biomass & Others)",60,140,331,5,0,535,07-08-2020
Coal,548,1064,332,434,7,2385,07-08-2020
Hydro,362,30,127,135,26,679,07-08-2020
Lignite,20,8,23,0,0,51,07-08-2020
Nuclear,21,33,47,0,0,102,07-08-2020
"Gas, Naptha & Diesel",36,58,13,0,18,126,07-08-2020
Lignite,22,9,28,0,0,58,08-08-2020
Coal,568,1069,354,441,7,2439,08-08-2020
"RES (Wind, Solar, Biomass & Others)",59,175,313,5,0,552,08-08-2020
"Gas, Naptha & Diesel",45,54,13,0,21,133,08-08-2020
Nuclear,21,33,48,0,0,102,08-08-2020
Hydro,359,25,123,139,26,671,08-08-2020
Total,1074,1365,878,585,53,3955,08-08-2020
Coal,533,1062,325,435,7,2362,09-08-2020
Lignite,24,9,30,0,0,62,09-08-2020
Hydro,348,22,111,146,25,652,09-08-2020
Nuclear,21,33,48,0,0,102,09-08-2020
"Gas, Naptha & Diesel",45,54,14,0,25,137,09-08-2020
"RES (Wind, Solar, Biomass & Others)",67,144,249,4,0,466,09-08-2020
Total,1038,1324,777,585,56,3780,09-08-2020
Total,1032,1337,777,575,58,3779,10-08-2020
"RES (Wind, Solar, Biomass & Others)",69,106,266,5,0,446,10-08-2020
Coal,523,1087,300,425,7,2342,10-08-2020
Lignite,21,10,30,0,0,60,10-08-2020
"Gas, Naptha & Diesel",43,69,14,0,24,150,10-08-2020
Nuclear,22,32,47,0,0,101,10-08-2020
Hydro,354,34,119,146,27,680,10-08-2020
Nuclear,22,32,47,0,0,101,11-08-2020
"RES (Wind, Solar, Biomass & Others)",74,133,320,5,0,531,11-08-2020
"Gas, Naptha & Diesel",44,72,15,0,23,155,11-08-2020
Hydro,346,21,114,150,30,661,11-08-2020
Lignite,20,8,25,0,0,53,11-08-2020
Coal,515,1029,318,419,7,2288,11-08-2020
Total,1020,1294,841,574,61,3789,11-08-2020
Coal,486,955,301,401,7,2149,12-08-2020
Lignite,20,9,27,0,0,56,12-08-2020
Hydro,336,19,117,143,31,645,12-08-2020
Nuclear,21,32,48,0,0,101,12-08-2020
"Gas, Naptha & Diesel",45,51,14,0,23,134,12-08-2020
"RES (Wind, Solar, Biomass & Others)",105,197,317,4,0,623,12-08-2020
Total,1014,1263,823,548,61,3708,12-08-2020
Coal,470,911,302,403,6,2094,13-08-2020
Nuclear,22,32,47,0,0,101,13-08-2020
"Gas, Naptha & Diesel",24,39,16,0,24,103,13-08-2020
Total,972,1223,793,549,59,3596,13-08-2020
Lignite,23,10,26,0,0,59,13-08-2020
"RES (Wind, Solar, Biomass & Others)",93,209,279,4,0,585,13-08-2020
Hydro,340,22,123,141,28,654,13-08-2020
Coal,476,934,300,414,7,2130,14-08-2020
"RES (Wind, Solar, Biomass & Others)",74,152,303,5,0,533,14-08-2020
"Gas, Naptha & Diesel",24,68,15,0,24,131,14-08-2020
Nuclear,22,31,47,0,0,101,14-08-2020
Hydro,346,27,115,145,27,660,14-08-2020
Total,969,1222,806,563,57,3619,14-08-2020
Lignite,27,11,26,0,0,64,14-08-2020
Hydro,354,30,108,136,26,653,15-08-2020
Lignite,27,10,25,0,0,63,15-08-2020
Coal,482,900,274,401,4,2060,15-08-2020
Nuclear,22,32,41,0,0,94,15-08-2020
Total,980,1171,734,541,53,3479,15-08-2020
"RES (Wind, Solar, Biomass & Others)",66,140,272,5,0,483,15-08-2020
"Gas, Naptha & Diesel",29,60,15,0,23,127,15-08-2020
"Gas, Naptha & Diesel",36,56,15,0,24,131,16-08-2020
Hydro,349,32,113,140,26,661,16-08-2020
"RES (Wind, Solar, Biomass & Others)",67,142,238,4,0,452,16-08-2020
Lignite,25,10,25,0,0,59,16-08-2020
Coal,483,887,261,382,3,2016,16-08-2020
Total,982,1158,698,526,53,3418,16-08-2020
Nuclear,21,31,47,0,0,100,16-08-2020
Coal,506,982,291,436,4,2219,17-08-2020
"Gas, Naptha & Diesel",40,64,14,0,26,143,17-08-2020
Hydro,348,36,125,139,27,675,17-08-2020
Nuclear,21,32,47,0,0,100,17-08-2020
"RES (Wind, Solar, Biomass & Others)",72,136,259,4,0,471,17-08-2020
Total,1014,1260,759,579,56,3669,17-08-2020
Lignite,27,10,24,0,0,61,17-08-2020
Nuclear,21,32,47,0,0,100,18-08-2020
"Gas, Naptha & Diesel",41,70,12,0,23,146,18-08-2020
"RES (Wind, Solar, Biomass & Others)",79,126,285,5,0,495,18-08-2020
Total,1019,1258,774,597,55,3702,18-08-2020
Coal,507,983,286,453,3,2233,18-08-2020
Lignite,27,11,22,0,0,60,18-08-2020
Hydro,345,35,121,139,28,668,18-08-2020
Hydro,330,36,136,142,25,670,19-08-2020
Coal,448,933,318,419,7,2126,19-08-2020
Total,959,1219,786,566,56,3587,19-08-2020
Nuclear,21,32,47,0,0,100,19-08-2020
"RES (Wind, Solar, Biomass & Others)",99,141,249,5,0,493,19-08-2020
"Gas, Naptha & Diesel",39,65,13,0,24,141,19-08-2020
Lignite,23,12,22,0,0,57,19-08-2020
Coal,410,956,310,396,7,2078,20-08-2020
Hydro,322,38,136,138,25,659,20-08-2020
Nuclear,21,32,48,0,0,101,20-08-2020
Lignite,24,13,21,0,0,57,20-08-2020
Total,877,1205,772,538,57,3448,20-08-2020
"Gas, Naptha & Diesel",34,57,15,0,25,130,20-08-2020
"RES (Wind, Solar, Biomass & Others)",66,110,243,4,0,423,20-08-2020
"RES (Wind, Solar, Biomass & Others)",55,87,241,4,0,388,21-08-2020
"Gas, Naptha & Diesel",37,60,15,0,25,137,21-08-2020
Nuclear,21,32,47,0,0,101,21-08-2020
Hydro,325,35,127,142,24,653,21-08-2020
Total,865,1185,778,543,57,3428,21-08-2020
Lignite,25,12,23,0,0,60,21-08-2020
Coal,402,960,325,397,7,2090,21-08-2020
Coal,410,923,334,404,7,2077,22-08-2020
Lignite,24,9,22,0,0,55,22-08-2020
Hydro,317,53,125,148,26,668,22-08-2020
Nuclear,24,32,48,0,0,104,22-08-2020
"Gas, Naptha & Diesel",34,49,13,0,25,122,22-08-2020
"RES (Wind, Solar, Biomass & Others)",72,121,210,4,0,407,22-08-2020
Total,882,1186,751,556,58,3433,22-08-2020
Nuclear,26,32,46,0,0,104,23-08-2020
"RES (Wind, Solar, Biomass & Others)",77,180,216,5,0,479,23-08-2020
Total,855,1202,732,555,57,3401,23-08-2020
Hydro,290,74,119,141,25,649,23-08-2020
"Gas, Naptha & Diesel",33,46,14,0,26,119,23-08-2020
Coal,403,861,315,409,7,1995,23-08-2020
Lignite,26,8,22,0,0,56,23-08-2020
Coal,433,907,340,426,7,2113,24-08-2020
"RES (Wind, Solar, Biomass & Others)",70,197,185,5,0,457,24-08-2020
"Gas, Naptha & Diesel",33,47,15,0,26,121,24-08-2020
Nuclear,26,32,57,0,0,115,24-08-2020
Hydro,349,81,131,143,24,729,24-08-2020
Lignite,27,8,22,0,0,58,24-08-2020
Total,939,1272,750,574,57,3592,24-08-2020
Nuclear,27,32,61,0,0,120,27-08-2020
Total,960,1322,807,591,56,3737,27-08-2020
Lignite,25,8,30,0,0,63,27-08-2020
"RES (Wind, Solar, Biomass & Others)",65,126,201,4,0,396,27-08-2020
"Gas, Naptha & Diesel",31,50,15,0,26,121,27-08-2020
Hydro,344,96,128,143,23,735,27-08-2020
Coal,468,1010,373,444,7,2302,27-08-2020
Hydro,341,94,129,150,23,737,28-08-2020
Nuclear,27,33,66,0,0,125,28-08-2020
"Gas, Naptha & Diesel",34,63,14,0,26,138,28-08-2020
"RES (Wind, Solar, Biomass & Others)",64,105,229,5,0,402,28-08-2020
Coal,452,982,383,448,7,2271,28-08-2020
Lignite,25,8,28,0,0,61,28-08-2020
Total,943,1284,849,602,56,3734,28-08-2020
Coal,444,906,370,418,7,2145,30-08-2020
Total,941,1233,795,567,53,3588,30-08-2020
"RES (Wind, Solar, Biomass & Others)",63,145,246,5,0,458,30-08-2020
Nuclear,27,33,69,0,0,129,30-08-2020
"Gas, Naptha & Diesel",32,60,15,0,24,130,30-08-2020
Lignite,24,8,21,0,0,53,30-08-2020
Hydro,352,81,74,144,22,673,30-08-2020
Total,952,1322,806,575,54,3709,31-08-2020
"RES (Wind, Solar, Biomass & Others)",66,142,193,5,0,405,31-08-2020
"Gas, Naptha & Diesel",31,56,15,0,25,127,31-08-2020
Hydro,356,90,93,143,21,703,31-08-2020
Coal,458,994,417,428,7,2303,31-08-2020
Nuclear,27,33,69,0,0,129,31-08-2020
Lignite,15,8,20,0,0,42,31-08-2020
Coal,495,1075,439,460,7,2477,02-09-2020
Nuclear,27,33,66,0,0,125,02-09-2020
Hydro,354,120,92,141,20,727,02-09-2020
Total,996,1359,761,606,47,3770,02-09-2020
"RES (Wind, Solar, Biomass & Others)",57,47,119,5,0,228,02-09-2020
"Gas, Naptha & Diesel",34,77,16,0,20,146,02-09-2020
Lignite,29,7,29,0,0,66,02-09-2020
"Gas, Naptha & Diesel",34,80,15,0,19,147,03-09-2020
Nuclear,27,33,60,0,0,119,03-09-2020
Hydro,350,114,92,145,20,722,03-09-2020
Coal,516,1085,447,458,11,2517,03-09-2020
Lignite,30,8,24,0,0,62,03-09-2020
"RES (Wind, Solar, Biomass & Others)",48,39,144,5,0,235,03-09-2020
Total,1003,1359,782,608,50,3802,03-09-2020
Coal,496,1123,461,483,12,2575,04-09-2020
Lignite,28,6,24,0,0,58,04-09-2020
"RES (Wind, Solar, Biomass & Others)",49,42,146,5,0,242,04-09-2020
"Gas, Naptha & Diesel",34,86,15,0,20,154,04-09-2020
Nuclear,26,33,61,0,0,120,04-09-2020
Total,981,1397,810,627,50,3866,04-09-2020
Hydro,348,109,103,139,19,717,04-09-2020
Total,934,1363,791,581,57,3726,06-09-2020
Nuclear,27,20,69,0,0,116,06-09-2020
Coal,459,1118,398,432,9,2415,06-09-2020
"Gas, Naptha & Diesel",29,75,16,0,25,146,06-09-2020
Lignite,25,5,24,0,0,54,06-09-2020
Hydro,333,86,87,145,24,675,06-09-2020
"RES (Wind, Solar, Biomass & Others)",61,59,196,4,0,320,06-09-2020
Nuclear,27,21,69,0,0,116,07-09-2020
"RES (Wind, Solar, Biomass & Others)",68,71,224,5,0,368,07-09-2020
"Gas, Naptha & Diesel",32,76,16,0,26,150,07-09-2020
Total,999,1412,818,579,57,3867,07-09-2020
Hydro,334,91,98,142,25,689,07-09-2020
Coal,516,1148,391,433,7,2494,07-09-2020
Lignite,23,6,20,0,0,49,07-09-2020
Nuclear,27,20,68,0,0,115,08-09-2020
"Gas, Naptha & Diesel",28,77,16,0,26,148,08-09-2020
"RES (Wind, Solar, Biomass & Others)",70,61,197,5,0,333,08-09-2020
Total,1025,1464,804,619,58,3970,08-09-2020
Hydro,330,89,91,149,24,683,08-09-2020
Coal,548,1210,410,466,8,2642,08-09-2020
Lignite,22,7,21,0,0,50,08-09-2020
Total,1067,1485,816,633,55,4056,09-09-2020
Nuclear,26,21,67,0,0,114,09-09-2020
Hydro,327,81,77,145,20,649,09-09-2020
Lignite,25,9,22,0,0,56,09-09-2020
Coal,594,1221,439,484,9,2747,09-09-2020
"Gas, Naptha & Diesel",30,109,16,0,26,181,09-09-2020
"RES (Wind, Solar, Biomass & Others)",64,43,196,4,0,308,09-09-2020
Total,1073,1471,814,616,54,4029,10-09-2020
"RES (Wind, Solar, Biomass & Others)",58,42,211,5,0,316,10-09-2020
"Gas, Naptha & Diesel",30,94,16,0,26,166,10-09-2020
Nuclear,26,21,67,0,0,114,10-09-2020
Hydro,327,79,92,144,19,661,10-09-2020
Lignite,25,10,24,0,0,59,10-09-2020
Coal,606,1226,405,467,9,2713,10-09-2020
Total,1088,1478,804,597,56,4025,11-09-2020
"RES (Wind, Solar, Biomass & Others)",62,47,223,4,0,337,11-09-2020
"Gas, Naptha & Diesel",32,78,16,0,26,153,11-09-2020
Nuclear,26,21,66,0,0,114,11-09-2020
Hydro,330,94,105,149,20,698,11-09-2020
Lignite,26,10,23,0,0,59,11-09-2020
Coal,611,1228,370,444,10,2663,11-09-2020
Lignite,27,10,23,0,0,60,12-09-2020
Coal,625,1194,356,443,10,2628,12-09-2020
Total,1096,1442,802,587,58,3986,12-09-2020
Hydro,328,98,110,141,22,698,12-09-2020
Nuclear,26,21,69,0,0,116,12-09-2020
"RES (Wind, Solar, Biomass & Others)",58,56,229,4,0,346,12-09-2020
"Gas, Naptha & Diesel",31,64,16,0,26,137,12-09-2020
Nuclear,26,21,69,0,0,116,13-09-2020
Coal,626,1103,301,436,10,2476,13-09-2020
Lignite,30,10,25,0,0,65,13-09-2020
"Gas, Naptha & Diesel",31,57,16,0,26,130,13-09-2020
"RES (Wind, Solar, Biomass & Others)",61,65,195,4,0,325,13-09-2020
Total,1096,1348,717,553,59,3774,13-09-2020
Hydro,321,94,112,112,23,662,13-09-2020
Total,1129,1377,731,578,56,3871,14-09-2020
"RES (Wind, Solar, Biomass & Others)",59,63,219,5,0,346,14-09-2020
Lignite,31,10,25,0,0,65,14-09-2020
Coal,653,1124,280,437,8,2501,14-09-2020
"Gas, Naptha & Diesel",29,63,16,0,26,135,14-09-2020
Nuclear,26,21,69,0,0,116,14-09-2020
Hydro,331,96,122,137,22,708,14-09-2020
"Gas, Naptha & Diesel",33,72,16,0,27,149,15-09-2020
Hydro,330,74,120,136,21,680,15-09-2020
Nuclear,26,21,69,0,0,116,15-09-2020
Coal,660,1144,280,447,7,2539,15-09-2020
Total,1138,1386,758,587,55,3924,15-09-2020
"RES (Wind, Solar, Biomass & Others)",58,62,249,4,0,373,15-09-2020
Lignite,30,12,25,0,0,67,15-09-2020
Coal,669,1154,293,461,7,2584,16-09-2020
Lignite,31,12,24,0,0,67,16-09-2020
Hydro,323,86,119,134,21,684,16-09-2020
Nuclear,26,21,69,0,0,116,16-09-2020
Total,1141,1412,764,597,56,3970,16-09-2020
"RES (Wind, Solar, Biomass & Others)",59,61,243,2,0,365,16-09-2020
"Gas, Naptha & Diesel",33,77,16,0,28,154,16-09-2020
Coal,677,1166,252,474,9,2578,19-09-2020
"RES (Wind, Solar, Biomass & Others)",60,49,234,5,0,347,19-09-2020
"Gas, Naptha & Diesel",33,84,16,0,28,161,19-09-2020
Nuclear,26,21,69,0,0,116,19-09-2020
Hydro,325,104,136,134,25,724,19-09-2020
Total,1154,1435,735,613,62,3999,19-09-2020
Lignite,32,11,29,0,0,72,19-09-2020
Hydro,311,101,120,132,24,688,20-09-2020
"Gas, Naptha & Diesel",33,67,16,0,27,142,20-09-2020
"RES (Wind, Solar, Biomass & Others)",59,50,232,4,0,346,20-09-2020
Lignite,31,11,27,0,0,69,20-09-2020
Coal,665,1109,232,455,10,2471,20-09-2020
Total,1125,1359,696,591,60,3831,20-09-2020
Nuclear,26,21,69,0,0,116,20-09-2020
Total,1103,1366,769,559,61,3858,22-09-2020
Lignite,31,11,20,0,0,62,22-09-2020
Hydro,306,100,149,128,27,710,22-09-2020
Coal,648,1076,230,430,8,2392,22-09-2020
"Gas, Naptha & Diesel",31,73,16,0,26,146,22-09-2020
Nuclear,26,21,69,0,0,116,22-09-2020
"RES (Wind, Solar, Biomass & Others)",61,85,286,1,0,433,22-09-2020
Total,1039,1324,789,567,60,3779,23-09-2020
Coal,603,1021,243,430,7,2304,23-09-2020
"RES (Wind, Solar, Biomass & Others)",51,97,298,4,0,450,23-09-2020
Lignite,28,12,21,0,0,61,23-09-2020
Hydro,308,105,143,134,29,719,23-09-2020
Nuclear,26,20,69,0,0,116,23-09-2020
"Gas, Naptha & Diesel",23,69,15,0,23,130,23-09-2020
"Gas, Naptha & Diesel",16,69,15,0,25,125,24-09-2020
Coal,577,1057,283,467,7,2391,24-09-2020
Lignite,28,12,26,0,0,66,24-09-2020
"RES (Wind, Solar, Biomass & Others)",67,87,210,4,0,369,24-09-2020
Total,1018,1356,762,611,61,3808,24-09-2020
Hydro,304,111,159,140,29,742,24-09-2020
Nuclear,26,20,69,0,0,116,24-09-2020
Coal,564,1084,327,474,7,2456,25-09-2020
"RES (Wind, Solar, Biomass & Others)",87,96,195,4,0,383,25-09-2020
Nuclear,26,20,69,0,0,116,25-09-2020
Lignite,24,12,24,0,0,59,25-09-2020
Total,999,1378,772,615,64,3828,25-09-2020
Hydro,296,102,141,137,29,705,25-09-2020
"Gas, Naptha & Diesel",3,64,16,0,27,110,25-09-2020
"Gas, Naptha & Diesel",4,53,17,0,26,100,26-09-2020
Nuclear,27,20,69,0,0,116,26-09-2020
Lignite,24,12,16,0,0,52,26-09-2020
"RES (Wind, Solar, Biomass & Others)",79,118,151,4,0,351,26-09-2020
Total,978,1373,696,589,63,3699,26-09-2020
Hydro,282,106,140,141,30,699,26-09-2020
Coal,563,1065,303,443,7,2381,26-09-2020
Nuclear,27,20,69,0,0,116,27-09-2020
Hydro,260,100,131,142,27,660,27-09-2020
"Gas, Naptha & Diesel",8,40,17,0,27,92,27-09-2020
Lignite,25,12,16,0,0,54,27-09-2020
Coal,542,1090,295,438,7,2370,27-09-2020
"RES (Wind, Solar, Biomass & Others)",67,83,175,4,0,329,27-09-2020
Total,929,1345,702,584,61,3622,27-09-2020
Hydro,239,103,137,145,27,651,28-09-2020
Total,953,1441,751,625,62,3831,28-09-2020
"RES (Wind, Solar, Biomass & Others)",62,62,197,5,0,326,28-09-2020
Lignite,28,10,16,0,0,55,28-09-2020
"Gas, Naptha & Diesel",14,49,16,0,27,105,28-09-2020
Nuclear,27,21,69,0,0,116,28-09-2020
Coal,582,1196,317,475,8,2578,28-09-2020
Coal,573,1201,326,486,7,2594,29-09-2020
Lignite,28,11,19,0,0,58,29-09-2020
Total,933,1449,759,633,58,3831,29-09-2020
Nuclear,27,21,69,0,0,117,29-09-2020
"RES (Wind, Solar, Biomass & Others)",61,63,191,5,0,320,29-09-2020
Hydro,224,99,139,142,25,628,29-09-2020
"Gas, Naptha & Diesel",19,54,15,0,26,114,29-09-2020
Hydro,218,95,125,136,25,599,30-09-2020
Total,909,1493,747,597,58,3805,30-09-2020
"Gas, Naptha & Diesel",24,59,15,0,27,125,30-09-2020
"RES (Wind, Solar, Biomass & Others)",62,60,195,1,0,320,30-09-2020
Coal,550,1248,322,460,6,2587,30-09-2020
Nuclear,27,21,69,0,0,117,30-09-2020
